Simbad_ID,GaiaDR3_ID,TYCHO_ID,2MASS_ID,GCVS_ID,HIP_ID,UCAC4_ID,Archival_Survey,Archival_ID,Archival_epoch,Archival_ra,Archival_ra_err,Archival_dec,Archival_dec_err,Archival_parallax,Archival_parallax_err,Archival_pmra,Archival_pmra_err,Archival_pmdec,Archival_pmdec_err,Search_method,Crossmatch_radius_arcsec,Radio_optical_sep_arcsec,Radio_component_id,Radio_SBID,Radio_starttime_mjd,Radio_endtime_mjd,Radio_exptime_s,Radio_ra,Radio_dec,Radio_ra_err,Radio_dec_err,Radio_freq_MHz,Radio_I_flux_peak,Radio_I_flux_peak_err,Radio_I_flux_int,Radio_I_flux_int_err,Radio_maj_axis,Radio_min_axis,Radio_pos_angle,Radio_maj_axis_err,Radio_min_axis_err,Radio_rms_fit_gauss,Radio_survey,Radio_I_measurementType,Radio_V_measurementType,Radio_V_flux_peak,Radio_V_flux_peak_err,Radio_V_flux_int,Radio_V_flux_int_err,Radio_telescope,Radio_local_V_RMS,Radio_local_I_RMS,Radio_I_flux_int_mean,Radio_I_flux_int_median,Radio_I_flux_int_max,Radio_I_flux_int_min,Radio_I_flux_int_std,Radio_I_flux_int_mad,Radio_I_flux_int_max_err,Radio_I_flux_int_min_err,MainType,OType,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,Distance_pc,G,Radio_luminosity_ergsHz_max,Xray_luminosity_ergs_max,Radio_luminosity_ergsHz_min,Xray_luminosity_ergs_min,Radio_luminosity_ergsHz_median,Xray_luminosity_ergs_median,Radio_luminosity_ergsHz_mean,Xray_luminosity_ergs_mean
*   3 Sco,Gaia DR3 6235747125966268928,TYC 6783-2696-1,2MASS J15543952-2514375,V* V927 Sco,HIP 77909,None,GaiaDR3,Gaia DR3 6235747125966268928,J2016.0,238.6646419613549,4.86443676054477e-05,-25.24384806461708,3.00849322229623e-05,6.93316698757571,0.0541935265064239,-13.213518207301238,0.0652380213141441,-24.56665293026485,0.0408527813851833,StokesV,,,SB36158_component_615a,36158,59599.047570601855,59599.05816900463,915.702,238.664523,-25.244,,,1655.49,5.0,,5.328000068664551,,,,,,,,RACS High,Detection,Detection,1.022076964378357,,1.4590500593185425,,ASKAP,,,5.328000068664551,5.328000068664551,5.328000068664551,5.328000068664551,0.0,0.0,5.328000068664551,5.328000068664551,RotV*,RotV*,6.93316698757571,0.0541935265064239,127.9334945678711,5.841276168823242,5.804790496826172,5.864806175231934,-0.0600156784057617,-0.0364856719970703,-0.0235300064086914,144.2342297238777,0.04593447106426307,1.3262086473199048e+17,3.6320830966826927e+31,1.3262086473199048e+17,3.6320830966826927e+31,1.3262086473199048e+17,3.6320830966826927e+31,1.3262086473199048e+17,3.6320830966826927e+31
* L02 Pup,Gaia DR3 5559704601966334848,TYC 7642-1461-1,2MASS J07133229-4438233,V* L02 Pup,HIP 34922,None,GaiaDR3,Gaia DR3 5559704601966334848,J2016.0,108.38532742677884,0.0007108740806579,-44.63827257599337,0.0007467382550239,17.790601493700514,0.8170347809791565,106.75677162842968,0.8662909865379333,323.1640858022872,0.94306880235672,StokesV,,,SB35809_component_1395a,35809,59591.70169675926,59591.712179953705,905.748,108.385364,-44.637454,,,1655.49,1.7970000505447388,,1.8329999446868896,,,,,,,,RACS High,Detection,Detection,1.0530270338058472,,0.923121988773346,,ASKAP,,,1.8329999446868896,1.8329999446868896,1.8329999446868896,1.8329999446868896,0.0,0.0,1.8329999446868896,1.8329999446868896,AGB*,AGB*,17.790601493700514,0.8170347809791565,21.77459526062012,5.518074989318848,7.577298164367676,3.978737354278565,3.598560810089112,2.059223175048828,1.5393376350402832,56.209454208397084,1.7690281476639975,6929344335437610.0,4.145412495818393e+30,6929344335437610.0,4.145412495818393e+30,6929344335437610.0,4.145412495818393e+30,6929344335437610.0,4.145412495818393e+30
* alf For B,Gaia DR3 5059349158319689344,TYC 6445-990-2,None,None,None,UCAC4 306-003184,GaiaDR3,Gaia DR3 5059349158319689344,J2016.0,48.019242438399225,2.99299303442239e-05,-28.984121178116503,5.47954700887203e-05,71.00889596182354,0.0873632282018661,343.69952014135924,0.0464316755533218,635.8944923055649,0.0698525980114936,StokesV,,,SB20429_component_1274a,20429,59210.57523148148,59210.57523148148,905.9999999357389,48.019551,-28.98314,,,1367.49,3.219000101089477,,3.630000114440918,,,,,,,,RACS Mid,Detection,Detection,2.152728080749512,,1.9409730434417725,,ASKAP,,,5.009096193663437,5.208480914911422,9.91,1.033,2.892571010101285,1.0646707139285743,9.91,1.033,HighPM*,HighPM*,71.00889596182354,0.0873632282018661,812.8007202148438,6.634121894836426,7.10563850402832,5.993546009063721,1.1120924949645996,0.4715166091918945,0.6405758857727051,14.082742541689834,5.8906856965384495,2351576374191565.0,1.8727073622304905e+30,245123955049433.56,3.551654425015276e+29,1235937504029603.0,1.1669607741045283e+30,1188624850158611.0,1.1339444216245292e+30
* alf Psc A,Gaia DR3 2517584007848935808,TYC  40-1338-1,None,None,None,None,GaiaDR2,Gaia DR2 2517584007848935808,J2015.5,30.51189915641828,0.0005823127780761,2.7637594974159154,0.0004996238096237,19.79948208994215,0.669115719850269,32.692235479729334,0.939919099499879,-2.8947854056515663,0.8213918844125467,StokesV,,,SB51152_component_1692a,51152,60130.02284722222,60130.02284722222,716.9999997597188,30.511941,2.763417,,,887.49,6.214000225067139,,6.521999835968018,,,,,,,,VAST 40,Detection,Detection,2.156903028488159,,2.741055965423584,,ASKAP,,,6.521999835968018,6.521999835968018,6.521999835968018,6.521999835968018,0.0,0.0,6.521999835968018,6.521999835968018,Star,Star,,,,4.155458927154541,4.106016159057617,4.167723178863525,-0.0617070198059082,-0.0494427680969238,-0.0122642517089843,,,,,,,,,,
* bet Aql B,Gaia DR3 4296708789289490816,None,None,None,None,None,GaiaDR3,Gaia DR3 4296708789289490816,J2016.0,298.82854636282065,1.5009731054306e-05,6.408313496636442,1.25118568539619e-05,73.38892020233298,0.0215169470757246,22.83940266507224,0.0203346274793148,-472.3727988682514,0.0157343465834856,StokesV,,,SB40361_component_5620a,40361,59707.8388425926,59707.84921059028,895.795,298.828172,6.407191,,,887.49,0.9480000138282776,,1.6460000276565552,,,,,,,,RACS Low 2,Detection,Detection,3.072014093399048,,3.434144973754883,,ASKAP,,,3.2578333396911625,3.489,6.019999980926514,1.0440000295639038,1.6128576351675936,0.7463240160338072,6.019999980926514,1.0440000295639038,HighPM*,HighPM*,73.38892020233298,0.0215169470757246,3410.749755859375,10.46542739868164,11.874150276184082,9.292986869812012,2.5811634063720703,1.4087228775024414,1.172440528869629,13.626035064189574,9.793579887757637,1337354208506594.8,1.2366307339954947e+30,231926551103312.94,3.410026063338269e+29,775087848548693.8,8.280415948275711e+29,723733744394218.6,7.873374308020993e+29
* h02 Sgr,Gaia DR3 6767903057227289088,TYC 6893-2132-1,2MASS J19364242-2453009,None,HIP 96465,None,GaiaDR3,Gaia DR3 6767903057227289088,J2016.0,294.1771467866805,0.000131981447339,-24.88372453635948,0.0001028284952044,18.224261823591643,0.1412211209535598,69.62490897968809,0.1746601909399032,-23.32514192955886,0.1343831866979599,StokesV,,,SB36560_component_703a,36560,59606.171291666666,59606.18189006944,915.702,294.177115,-24.884054,,,1655.49,3.622999906539917,,4.081999778747559,,,,,,,,RACS High,Detection,Detection,4.005702972412109,,4.190824031829834,,ASKAP,,,4.081999778747559,4.081999778747559,4.081999778747559,4.081999778747559,0.0,0.0,4.081999778747559,4.081999778747559,HighPM*,HighPM*,18.224261823591643,0.1412211209535598,129.04771423339844,4.579329013824463,4.549827575683594,4.631606578826904,-0.0817790031433105,-0.0295014381408691,-0.0522775650024414,54.87190700396334,0.8825787447461502,1.4705643686663092e+16,7.208682718317483e+30,1.4705643686663092e+16,7.208682718317483e+30,1.4705643686663092e+16,7.208682718317483e+30,1.4705643686663092e+16,7.208682718317483e+30
* i Sco,Gaia DR3 6046050824364599936,TYC 6799-932-1,2MASS J16301246-2506548,None,HIP 80815,None,GaiaDR3,Gaia DR3 6046050824364599936,J2016.0,247.55195970622523,0.00017332235,-25.115341157014107,9.596093e-05,7.940167187771108,0.18478285,-4.193013125533703,0.34813443,-26.974824228057564,0.25285283,StokesV,,,SB36159_component_1138a,36159,59599.06012731481,59599.0704953125,895.795,247.552039,-25.115372,,,1655.49,2.2070000171661377,,2.3910000324249268,,,,,,,,RACS High,Detection,Detection,0.909750998020172,,1.184849977493286,,ASKAP,,,2.3910000324249268,2.3910000324249268,2.3910000324249268,2.3910000324249268,0.0,0.0,2.3910000324249268,2.3910000324249268,Star,Star,7.940167187771108,0.18478285,42.97026,4.7453985,4.6814995,4.849749,-0.1682496,-0.06389904,-0.10435057,125.94193249987609,-0.7554532649665298,4.5376525891906456e+16,1.6507071454102738e+31,4.5376525891906456e+16,1.6507071454102738e+31,4.5376525891906456e+16,1.6507071454102738e+31,4.5376525891906456e+16,1.6507071454102738e+31
* iot01 Nor C,Gaia DR3 5835692225477389568,TYC 8718-2861-1,2MASS J16033086-5746353,None,None,UCAC4 162-157928,GaiaDR3,Gaia DR3 5835692225477389568,J2016.0,240.8776281316772,1.59177854657173e-05,-57.77683449327936,1.2555805966258e-05,24.31361794979077,0.0219776481389999,-117.27134763573194,0.0265401285141706,-85.23785450381496,0.0218255911022424,StokesV,,,SB46895_component_3910a,46895,59935.04001157408,59935.04001157408,716.9999997597188,240.876698,-57.777944,,,887.49,1.7389999628067017,,2.5230000019073486,,,,,,,,VAST 23c,Detection,Detection,1.0690579414367676,,1.1957939863204956,,ASKAP,,,1.2681666680971782,1.096999997138977,2.5230000019073486,0.296,0.7321480788387043,0.36355052353897405,2.5230000019073486,0.296,HighPM*,HighPM*,24.31361794979077,0.0219776481389999,1106.2884521484375,7.932833671569824,8.359177589416504,7.331935405731201,1.0272421836853027,0.4263439178466797,0.600898265838623,41.1292141739278,4.862081612376388,5106566936603504.0,3.312034669813185e+30,599105751919117.6,6.85190588623102e+29,2220334486963570.0,1.795275812940007e+30,2566776842057844.5,1.9972500263110003e+30
* k02 Pup,Gaia DR3 5612323414549657728,TYC 6547-2627-1,2MASS J07384987-2648137,None,None,None,GaiaDR3,Gaia DR3 5612323414549657728,J2016.0,114.70770724641432,5.88942058384418e-05,-26.80375088742428,8.02572593092918e-05,8.305822243815244,0.1040482521057128,-17.567267209002143,0.0809897631406784,21.66205730644868,0.112619012594223,StokesV,,,SB20583_component_1831a,20583,59214.74288194445,59214.74288194445,905.9999999357389,114.707997,-26.803697,,,1367.49,2.000999927520752,,1.7979999780654907,,,,,,,,RACS Mid,Detection,Detection,1.17159903049469,,1.5646129846572876,,ASKAP,,,2.4929999589920047,2.4059998989105225,3.275,1.7979999780654907,0.6061127640075298,0.4100903283724752,3.275,1.7979999780654907,Variable*,Variable*,8.305822243815244,0.1040482521057128,79.8266372680664,4.4215617179870605,4.33732795715332,4.590113162994385,-0.2527852058410644,-0.0842337608337402,-0.1685514450073242,120.39747187518115,-0.9815251201856823,5.680113240976075e+16,1.947063621960408e+31,3.1184254908960268e+16,1.2528343600131228e+31,4.172931872851529e+16,1.5520750462960966e+31,4.3238235349078776e+16,1.5931470134109336e+31
* ksi UMa B,Gaia DR3 756853643637996160,TYC 2520-2634-2,None,None,None,None,GaiaDR2,Gaia DR2 756853643637996160,J2015.5,169.543435666958,0.0003953943108102,31.52649983394189,0.0003616392129801,114.48666991814468,0.4316493923442916,-339.39750244872045,0.7788775421858458,-607.8922507337866,0.7639519803250573,StokesV,,,SB8276_component_6145a,8539,58594.4203125,58594.4203125,11027.999999863096,169.542405,31.525311,,,887.49,1.498,,2.349,,,,,,,,RACS Low,Detection,Detection,1.019,,0.797,,ASKAP,,,2.349,2.349,2.349,2.349,0.0,0.0,2.349,2.349,SB*,SB*,,,,4.640213489532471,4.918287754058838,4.068713188171387,0.8495745658874512,0.2780742645263672,0.571500301361084,,,,,,,,,,
* lam Lep,Gaia DR3 2988329637719192960,TYC 5343-1529-1,2MASS J05193452-1310364,None,HIP 24845,None,GaiaDR3,Gaia DR3 2988329637719192960,J2016.0,79.89385682650418,0.0001093797534704,-13.17679073992929,0.0001035641804337,3.3378208786274657,0.179041787981987,3.039837043510893,0.1566156148910522,-4.801176010588697,0.1530456095933914,StokesV,,,SB35665_component_1082a,35665,59589.62729166666,59589.63789006945,915.702,79.893547,-13.176943,,,1655.49,3.180000066757202,,3.2669999599456787,,,,,,,,RACS High,Detection,Detection,1.5799989700317385,,1.6787519454956057,,ASKAP,,,3.2669999599456787,3.2669999599456787,3.2669999599456787,3.2669999599456787,0.0,0.0,3.2669999599456787,3.2669999599456787,Star,Star,3.3378208786274657,0.179041787981987,18.64269256591797,4.218469142913818,4.103446006774902,4.474626064300537,-0.3711800575256347,-0.115023136138916,-0.2561569213867187,299.59666392020614,-3.16421572249849,3.5086013793966554e+17,7.427349242611585e+31,3.5086013793966554e+17,7.427349242611585e+31,3.5086013793966554e+17,7.427349242611585e+31,3.5086013793966554e+17,7.427349242611585e+31
* rho Oph A,Gaia DR3 6050943410590451456,TYC 6794-549-1,None,None,None,None,GaiaDR3,Gaia DR3 6050943410590451456,J2016.0,246.3963061379905,0.0001442855000495,-23.447279000082965,9.68830808997154e-05,7.260974030892993,0.1317773461341858,-4.384738652400054,0.1906013637781143,-23.29747316966948,0.1642558723688125,StokesV,,,SB21506_component_725a,21506,59232.053090277775,59232.053090277775,905.9999999357389,246.396099,-23.447018,,,1367.49,5.881999969482422,,6.951000213623047,,,,,,,,RACS Mid,Detection,Detection,1.6370420455932615,,1.7640719413757324,,ASKAP,,,7.2250001430511475,7.2250001430511475,7.499000072479248,6.951000213623047,0.2739999294281006,0.18481042049649304,7.499000072479248,6.951000213623047,Star,Star,7.260974030892993,0.1317773461341858,55.10032272338867,4.91181755065918,5.060236930847168,4.575067520141602,0.4851694107055664,0.1484193801879882,0.3367500305175781,137.72256941635345,-0.7832080318818218,1.7018627995113267e+17,4.363123035057212e+31,1.5774968087244384e+17,4.126340530267028e+31,1.6396798041178826e+17,4.2453261844294895e+31,1.6396798041178826e+17,4.2453261844294895e+31
* sig Gem,Gaia DR3 878467085735262720,TYC 1924-2022-1,2MASS J07431872+2853009,V* sig Gem,HIP 37629,None,GaiaDR3,Gaia DR3 878467085735262720,J2016.0,115.82834518488664,0.000302121669054,28.882490119929923,0.0003242167532444,27.121043168963787,0.30663001537323,61.6921627589912,0.2703644335269928,-229.21290165930364,0.2523201107978821,StokesV,,,ILTJ074318.85+285255.1,P114+27,58800.0,,,115.82852688634247,28.88206537273444,0.3884788705116276,0.4851727216428545,144.0,,,2.69981194,0.55782855,,,,,,,VLoTSS,Detection,Detection,,,1.22661185,0.245735005,LOFAR,0.2396072,0.223438025,4.32278166135967,,10.576,1.506,3.638670486425897,,10.576,1.506,RSCVnV*,RSCVnV*,27.121043168963787,0.30663001537323,88.4487533569336,3.968050479888916,4.60134220123291,3.2515385150909424,1.3498036861419678,0.6332917213439941,0.7165119647979736,36.87173807327437,1.1345824297968923,1.7203611107557816e+16,8.090131865499331e+30,2449757784415854.0,1.9298863094957663e+30,,,7031718476258931.0,4.190357578442693e+30
* zet TrA,Gaia DR3 5808612830236138368,TYC 9278-2951-1,2MASS J16282814-7005037,None,HIP 80686,None,GaiaDR3,Gaia DR3 5808612830236138368,J2016.0,247.1198786603902,8.98608565330505e-05,-70.08390985846162,0.0001145807132124,82.86994368147813,0.1626662909984588,200.74221109569703,0.1066735535860061,109.3414883630312,0.1523542404174804,StokesV,,,SB36549_component_1645a,36549,59606.019572916666,59606.03017131944,915.702,247.120908,-70.083878,,,1655.49,1.3830000162124634,,1.3320000171661377,,,,,,,,RACS High,Detection,Detection,0.9957720041275024,,1.2529139518737793,,ASKAP,,,0.8539748763693408,0.9489246119418846,1.3320000171661377,0.281,0.43429010905520854,0.25838082100651094,1.3320000171661377,0.281,SB*,SB*,82.86994368147813,0.1626662909984588,509.4475708007813,4.743967533111572,5.039831161499023,4.303140163421631,0.7366909980773926,0.2958636283874511,0.4408273696899414,12.067101238099491,4.335952751595092,232071119622268.84,3.411588873514586e+29,48957945775854.89,1.0865418561217556e+29,165328824543860.94,2.6586922649954063e+29,148785963313994.9,2.4603757735712056e+29
1RXS J001650.6-071013,Gaia DR3 2431240115634106112,None,2MASS J00165001-0710157,None,None,None,GaiaDR3,Gaia DR3 2431240115634106112,J2016.0,4.208590507092514,1.7562635e-05,-7.170961004436129,1.4335271e-05,14.009015153389964,0.020840188,39.84757870134999,0.023649566,9.578277203883392,0.019724917,StokesV,,,SB10323_VAST_0012-06A_component_3158a,10323,58784.58446759259,58784.58446759259,21857.999999960884,4.208869,-7.171185,,,887.49,2.559999942779541,,3.0850000381469727,,,,,,,,VAST P-2,Detection,Detection,2.6661109924316406,,2.689708948135376,,ASKAP,,,2.6627095535141274,3.081,3.3399999141693115,1.775,0.632004818246832,0.17469304881243192,3.3399999141693115,1.775,RotV*,RotV*,14.009015153389964,0.020840188,672.21155,11.72954,12.653195,10.772541,1.8806543,0.9236555,0.9569988,71.382605347387,7.461578025293173,2.0363020571399844e+16,9.157896591735509e+30,1.0821665402115482e+16,5.753367736938492e+30,1.878397245291144e+16,8.630186448860418e+30,1.6233775690786592e+16,7.752220783981341e+30
1RXS J172615.6-031131,Gaia DR3 4363875373342033664,None,2MASS J17261525-0311308,None,None,None,GaiaDR3,Gaia DR3 4363875373342033664,J2016.0,261.5634344754104,1.8770284950733106e-05,-3.192392272704998,1.45412823185324e-05,53.7888277778444,0.0234112627804279,-29.975359822012017,0.023053465411067,-103.38319079309372,0.0176468882709741,StokesV,,,SB51212_component_3805a,51212,60130.66555555556,60130.66555555556,725.9999999776483,261.563543,-3.192943,,,887.49,1.8359999656677248,,2.378000020980835,,,,,,,,VAST 40,Detection,Detection,2.138762950897217,,2.371768951416016,,ASKAP,,,2.378000020980835,2.378000020980835,2.378000020980835,2.378000020980835,0.0,0.0,2.378000020980835,2.378000020980835,HighPM*,HighPM*,53.7888277778444,0.0234112627804279,2297.56201171875,13.544288635253906,15.449283599853516,12.244467735290527,3.2048158645629883,1.9049949645996087,1.299820899963379,18.591221287255856,12.19774903419046,983419122842318.2,9.864442281732892e+29,983419122842318.2,9.864442281732892e+29,983419122842318.2,9.864442281732892e+29,983419122842318.2,9.864442281732892e+29
2MASS J02295743-3606404,Gaia DR3 4966072879648455296,None,2MASS J02295743-3606404,None,None,None,GaiaDR3,Gaia DR3 4966072879648455296,J2016.0,37.489187626886974,0.000402161091566,-36.11070763794735,0.0004985624849796,50.661124805360544,0.6070902943611145,-27.699987094556565,0.5436356663703918,112.78702032827296,0.7088566422462463,StokesV,,,SB51377_component_3324a,51377,60132.94871527778,60132.94871527778,715.9999995259568,37.489706,-36.110196,,,887.49,1.468000054359436,,1.4179999828338623,,,,,,,,VAST 40,Detection,Detection,1.1836990118026731,,1.5869719982147217,,ASKAP,,,1.4179999828338623,1.4179999828338623,1.4179999828338623,1.4179999828338623,0.0,0.0,1.4179999828338623,1.4179999828338623,HighPM*,HighPM*,50.661124805360544,0.6070902943611145,83.44908142089844,15.3076171875,18.321706771850582,13.800644874572754,4.521061897277832,3.014089584350586,1.506972312927246,19.739001134340942,13.830991327498499,661054892871461.9,7.366029835064143e+29,661054892871461.9,7.366029835064143e+29,661054892871461.9,7.366029835064143e+29,661054892871461.9,7.366029835064143e+29
2MASS J08471906-5717547,Gaia DR3 5304502936647141504,None,2MASS J08471906-5717547,None,None,None,GaiaDR3,Gaia DR3 5304502936647141504,J2016.0,131.8283276427928,1.5272087e-05,-57.29846035058348,1.7401418e-05,43.5395408601546,0.017385239,-125.8895689325397,0.021279415,16.333780288884284,0.020808436,StokesV,,,SB22334_component_2151a,22334,59246.6512037037,59246.6512037037,896.00000011269,131.827783,-57.298603,,,1367.49,1.35099995136261,,1.2790000438690186,,,,,,,,RACS Mid,Detection,Detection,0.7360770106315613,,2.524619102478028,,ASKAP,,,0.9587782032162093,1.2453345657796095,1.2790000438690186,0.352,0.4292770527506804,0.022707053884668156,1.2790000438690186,0.352,HighPM*,HighPM*,43.5395408601546,0.017385239,2504.3972,12.313643,13.903265,11.087125,2.8161402,1.5896215,1.2265186,22.967628510643163,10.508062224702153,807260725630724.8,8.53177858972789e+29,222170262451621.38,3.3039523149213055e+29,786012236702647.1,8.366071066643112e+29,605147741594997.8,6.902648326468923e+29
2MASS J09165078+2448559,Gaia DR3 687790775678270336,None,2MASS J09165078+2448559,None,None,None,GaiaDR3,Gaia DR3 687790775678270336,J2016.0,139.211239238958,2.2167922928929305e-05,24.81499916196065,1.78259573876857e-05,28.493771151253977,0.0275942962616682,-69.73768438963467,0.0288235414773225,-123.6438702527928,0.0217878799885511,StokesV,,,SB34964_component_1947a,34964,59577.82131712963,59577.83180032407,905.748,139.211375,24.814354,,,1655.49,1.1740000247955322,,1.1549999713897705,,,,,,,,RACS High,Detection,Detection,1.0407769680023191,,1.2936789989471436,,ASKAP,,,1.1549999713897705,1.1549999713897705,1.1549999713897705,1.1549999713897705,0.0,0.0,1.1549999713897705,1.1549999713897705,HighPM*,HighPM*,28.493771151253977,0.0275942962616682,1032.596435546875,13.712310791015623,15.60109043121338,12.414141654968262,3.186948776245117,1.888779640197754,1.2981691360473633,35.09538960959863,10.986060450655348,1702131324214564.8,1.4765889223590236e+30,1702131324214564.8,1.4765889223590236e+30,1702131324214564.8,1.4765889223590236e+30,1702131324214564.8,1.4765889223590236e+30
2MASS J10462256-6113379,Gaia DR3 5242048923891529472,TYC 8957-871-1,2MASS J10462256-6113379,None,None,None,GaiaDR3,Gaia DR3 5242048923891529472,J2016.0,161.59363794890857,2.3391355e-05,-61.22714434963242,2.3197863e-05,10.230472484916358,0.02667151,-32.63280065592225,0.03185117,1.867755613872637,0.028645081,StokesV,,,SB22342_component_2584a,22342,59246.76167824074,59246.76167824074,905.9999999357389,161.593814,-61.226972,,,1367.49,1.0390000343322754,,1.8849999904632568,,,,,,,,RACS Mid,Detection,Detection,0.970777988433838,,1.135707974433899,,ASKAP,,,1.8849999904632568,1.8849999904632568,1.8849999904632568,1.8849999904632568,0.0,0.0,1.8849999904632568,1.8849999904632568,YSO_Candidate,YSO_Candidate,10.230472484916358,0.02667151,383.57306,11.27486,12.133756,10.3523655,1.7813902,0.8588953,0.9224949,97.74719608252538,6.324338458322997,2.1549188666321028e+16,9.547192493400933e+30,2.1549188666321028e+16,9.547192493400933e+30,2.1549188666321028e+16,9.547192493400933e+30,2.1549188666321028e+16,9.547192493400933e+30
